,target_name,mass,radius,semi_major_axis,detection_type
279,HATS-63 b,0.96,1.207,0.04026,Primary Transit
280,HATS-64 b,0.96,1.679,0.06562,Primary Transit
281,HATS-65 b,0.821,1.501,0.04497,Primary Transit
282,HATS-66 b,5.33,1.411,0.04714,Primary Transit
283,HATS-67 b,1.45,1.685,0.03032,Primary Transit
284,HATS-68 b,1.29,1.2321,0.05071,Primary Transit
285,HATS-69 b,0.577,0.945,0.03211,Primary Transit
286,HATS-7 b,0.12,0.563,0.04012,Primary Transit
287,HATS-70 b,12.9,1.384,0.03632,Primary Transit
288,HATS-71A b,0.45,1.08,0.03946,Primary Transit
289,HATS-72 b,0.1254,0.7224,0.066517,Primary Transit
290,HATS-74A b,1.46,1.032,0.02384,Primary Transit
291,HATS-75 b,0.491,0.884,0.032742,Primary Transit
292,HATS-76 b,2.629,1.079,0.02658,Primary Transit
293,HATS-77 b,1.374,1.165,0.03607,Primary Transit
294,HATS-8 b,0.138,0.873,0.04667,Primary Transit
295,HATS-9 b,0.839,1.236,0.0312,Primary Transit
296,HD 102195 b,0.46,,0.049,Radial Velocity
297,HD 106315 b,0.03964,0.218,0.0907,Primary Transit
298,HD 106315 c,0.04782,0.388,0.1536,Primary Transit
299,HD 106906 (AB) b,11.0,,850.0,Imaging
300,HD 10697 b,6.837,1.152,2.14,Radial Velocity
301,HD 110113 b,0.01432,0.1829,0.035,Primary Transit
302,HD 114783 b,6.3,,1.16,Radial Velocity
303,HD 118203 b,2.173,1.133,0.07082,Radial Velocity
304,HD 128311 c,4.19,,1.76,Radial Velocity
305,HD 130322 b,1.05,,0.09,Radial Velocity
306,HD 132406 b,6.7,,1.98,Radial Velocity
307,HD 136352 b,0.01454,0.13222,0.0969,Radial Velocity
308,HD 136352 c,0.03552,0.183854,0.1729,Radial Velocity
309,HD 136352 d,0.02775,0.2284,0.4285,Radial Velocity
310,HD 137496 b,0.01271,0.1169,0.02732,Primary Transit
311,HD 1397 b,0.415,1.026,0.1097,Primary Transit
312,HD 149026 b,0.357,0.718,0.04288,Primary Transit
313,HD 152843 b,0.03637,0.3042,0.1053,Primary Transit
314,HD 152843 c,0.0865,0.5201,,Primary Transit
315,HD 154345 b,1.3,,4.3,Radial Velocity
316,HD 163296 b,1.0,,94.0,Other
317,HD 163296 c,0.3,,261.0,Other
318,HD 164604 b,14.3,,1.331,Radial Velocity
319,HD 169142 b,2.2,,36.4,Imaging
320,HD 17156 b,3.195,1.095,0.1623,Primary Transit
321,HD 175167 b,9.5,,2.4,Radial Velocity
322,HD 176051 b,1.5,,1.76,Astrometry
323,HD 181720 b,12.12,,1.78,Radial Velocity
324,HD 183579 b,0.0302,0.3149,0.1334,Primary Transit
325,HD 189733 b,1.138,1.138,0.031,Primary Transit
326,HD 191939 b,0.0327,0.3024,0.078,Primary Transit
327,HD 191939 c,0.0227,0.2748,0.17,Primary Transit
328,HD 191939 d,0.0182,0.2712,0.207,Primary Transit
329,HD 202206 (AB) c,17.9,,2.41,Radial Velocity
330,HD 202772 A b,1.008,1.562,0.0519,Primary Transit
331,HD 203030 b,11.0,,487.0,Imaging
332,HD 207897 b,0.05,0.22348,0.1164,Primary Transit
333,HD 208487 c,0.46,,1.8,Other
334,HD 209458 b,0.69,1.38,0.04747,Radial Velocity
335,HD 213885 b,0.02778,0.15568,0.02012,Primary Transit
336,HD 219134 b,0.01343,0.134,0.037,Primary Transit
337,HD 219134 c,0.01246,0.12624,0.062,Radial Velocity
338,HD 219134 d,0.05236,,0.225,Radial Velocity
339,HD 219134 f,0.0208,,0.139,Other
340,HD 219666 b,0.0522,0.4202,0.06356,Primary Transit
341,HD 221416 b,0.1904,0.836,0.1228,Primary Transit
342,HD 23472 b,0.02618,0.16701,0.1162,Primary Transit
343,HD 23472 c,0.01073,0.1668,0.1646,Primary Transit
344,HD 23472 d,0.00173,0.0669,0.04298,Primary Transit
345,HD 23472 e,0.00227,0.07298,0.68,Primary Transit
346,HD 23472 f,0.00242,0.10144,,Primary Transit
347,HD 260655 b,0.00673,0.1106,0.02933,Primary Transit
348,HD 260655 c,0.00972,0.13677,0.04749,Primary Transit
349,HD 2685 b,1.18,1.44,0.0568,Primary Transit
350,HD 28109 b,0.058195,0.19618,0.1357,Primary Transit
351,HD 3167 b,0.0158,0.152,0.0186,Primary Transit
352,HD 3167 c,0.0308,0.255,0.1841,Primary Transit
353,HD 332231 b,0.244,0.867,0.1436,Primary Transit
354,HD 3651 b,0.23,,0.295,Radial Velocity
355,HD 38529 b,0.93,,0.131,Radial Velocity
356,HD 5278 b,0.0245,0.2186,0.12,Primary Transit
357,HD 60532 b,9.21,,0.77,Radial Velocity
358,HD 63935 b,0.034,0.2668,,Primary Transit
359,HD 63935 c,0.0349,0.259,,Primary Transit
360,HD 68988 c,15.0,,13.2,Radial Velocity
361,HD 69830 b,0.1427,,0.0785,Radial Velocity
362,HD 69830 c,0.1649,,0.186,Radial Velocity
363,HD 69830 d,0.2529,,0.63,Radial Velocity
364,HD 73583 b,0.0321,0.2489,0.0604,Primary Transit
365,HD 73583 c,0.0302,0.2436,0.1233,Primary Transit
366,HD 80606 b,4.1641,1.032,0.4603,Primary Transit
367,HD 80653 b,0.01762,0.144,0.0166,Primary Transit
368,HD 81040 b,8.04,,1.94,Radial Velocity
369,HD 82943 b,14.5,,1.19,Radial Velocity
370,HD 82943 c,14.39,,0.746,Radial Velocity
371,HD 85628 A b,3.1,1.53,0.047,Primary Transit
372,HD 89345 b,0.1123,0.612,0.105,Primary Transit
373,HD 89744 b,10.32,,0.917,Radial Velocity
374,HD 95086 b,2.6,,61.7,Imaging
375,HD 95338 b,0.12406,0.3551,0.231,Primary Transit
376,HD 97658 b,0.02457,0.20047,0.08,Primary Transit
377,HIP 116454 b,0.0372,0.226,0.098,Primary Transit
378,HIP 63734 b,11.0,,30.02,Imaging
379,HIP 65426 b,7.1,1.5,87.0,Imaging
380,HIP 65A b,3.213,2.03,0.01782,Primary Transit
381,HIP 67522 b,5.0,0.8984,,Primary Transit
382,HIP 75458 b,16.4,,1.448,Radial Velocity
383,HIP 75458 c,17.0,,19.4,Radial Velocity
384,HIP 94235 b,1.192,0.2862,0.0787,Primary Transit
385,HIP 97166 b,0.063,0.2444,0.089,Primary Transit
386,HN Peg b,16.0,1.1,795.0,Imaging
387,HR 8799 b,7.0,1.2,68.0,Imaging
388,HR 8799 c,8.3,1.3,42.9,Imaging
